Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Option 24,Option 25,Option 26,Option 27,Option 28,Option 29,Option 30,Option 31,Option 32,Option 33,Option 34,Option 35,Option 36,Option 37,Option 38,Option 39,Option 40,Option 41,Option 42,Option 43,Option 44,Option 45,Option 46,Option 47,Option 48,Option 49,Option 50,Option 51,Option 52,Option 53,Option 54,Option 55,Option 56,Option 57,Option 58,Option 59,Option 60,Option 61,Option 62,Option 63,Option 64,Option 65,Option 66,Option 67,Option 68,Option 69,Option 70,Option 71,Option 72,Option 73,Option 74,Option 75,Option 76,Option 77,Option 78,Option 79,Option 80,Option 81,Option 82,Option 83,Option 84,Option 85,Option 86,Option 87,Option 88,Option 89,Option 90,Option 91,Option 92,Option 93,Option 94,Option 95,Option 96,Option 97,Option 98,Option 99,Option 100,Option 101,Option 102,Option 103,Option 104,Option 105,Option 106,Option 107,Option 108,Option 109,Option 110,Option 111,Option 112,Option 113,Option 114,Option 115,Option 116,Option 117,Option 118,Option 119,Option 120,Option 121,Option 122,Option 123,Option 124,Option 125,Option 126,Option 127,Option 128,Option 129,Option 130,Option 131,Option 132,Option 133,Option 134,Option 135,Option 136,Option 137,Option 138,Option 139,Option 140,Option 141,Option 142,Option 143,Option 144,Option 145,Option 146,Option 147
Гломерулонефритда ҳомиладорлик даврида юзага келадиган асоратлар,ҳаммаси,эклампсия,нормал жойлашган йўлдошни барвақт кўчиши,ҳомила гипотрофияси,ҳомилани антенатал ўлими,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Уролитиаз касаллигида  ҳомиладорларда энг кўп учрайдиган асорат,пиелонефрит,ҳомила тушиш хавфи,преэклампсия,пиелонефрит,ҳомила гипотрофияси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гестацион пиелонефрит қўзғатувчиси:,ҳаммаси,"ичак таёқчаси, протей, клебсиелла","энтерококклар, стафилококк",микроорганизмлар ассоциацияси,замуруглар,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гестацион пиелонефрит қўзғатувчи инфекцион агент буйракга қандай тушади,тепага кўтарилувчи уриноген ва гематоген,лимфоген йўли билан,тепага кўтарилувчи уриноген ва гематоген,гематоген йўли билан,контакт ва лимфоген,қон ва қон препаратлари билан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорликда пиелонефрит ривожланишига сабаблар,ҳаммаси,Прогестерон ва глюкокортикоидлар ортиши ва сийдик йўллари тонуси пасайиши,"уродинамика бузилиши, рефлюкс юзага келиши",сийдик найлари механик эзилиши,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ткир пиелонефрит белгилар қаторига кирмайди,"бош оғриқ, кўнгил айнаш, қайт қилиш, кўз олдида қора нуқталар, кўриш  хиралашуви","тана харорати ортиши, қалтираш","бош оғриқ, кўнгил айнаш, қайт қилиш, кўз олдида қора нуқталар, кўриш  хиралашуви",бел сохасида оғриқ,бел сохасидаги оғриқ ёнбош етганда зўрайиши,"дизурия, ҳолсизлик",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лаборатор текширишда гломерулонефритга хос бўлмаган ўзгаришлар,ацетонурия,протеинурия,цилиндрурия,макрогематурияолигурия,ацетонурия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пиелонефритда ҳомиладорликни  тўхтатишга кўрсатма бўлади,ҳаммаси,буйрак етишмовчилиги,ёлгиз буйрак пиелонефрити,артериал   гипертензия,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорларда пиелонефрит диагностикасида  аҳамиятга эга бўлмайди,"гематурия, протеинурия, цилиндрурия","лейкоцитурия, бактериупия",Зимницкий синамасида гипоизостенурия,Нечипоренко синамасида лейкоцитлар сони ортиши,"гематурия, протеинурия, цилиндрурия","лейкоцитоз, лейкоформула чапга силжиши, СОЭ ортиши",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорларда  камқонликни куп учрайдиган тури,темир танқислик гипохром камқонлик,мегалобластик гиперхром камқонлик,темир танқислик гипохром камқонлик,гипопластик,гемолитик,апластик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гипохром темир танқислик камқонлик ривожланишида аҳамиятга эга факторлар:,ҳаммаси,зарарли моддалар таъсири,туғруқлар ораси 2 йилдан кам бўлиши,ошқозон-ичак касалликлари,эгизак ҳомила,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорларда гипохром камқонлик ривожланишига сабаб бўлади:,ҳаммаси,анацид  гастритда темир моддаси сўрилишининг бузилиши,норационал озиқланиш,ҳомила ривожланиш жараёнида  темирга мухтожлик ортиши,ҳомиладорлик даврида  тўқима мода алмашинуви ортиши,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Камқонлик касаллигига хос бўлмаган белгиларни кўрсатинг,"оғиз куриши, ташна бўлиш, кўп сув ичиш",холсизлик,"хансираш, хушдан кетиш","бош айланиши, бош оғриқ","оғиз куриши, ташна бўлиш, кўп сув ичиш","сочлар тўкилиши, тирноқлар синиши",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорлик эрта токсикозни  оғирлик даражасини баҳолашда  аҳамиятга эга бўлмаган мезонларни кўрсатинг,гемоглобин миқдори камайиши,ацетонурия,тана вазни камайиши,субфебрилитет,кайт килиш сони,гемоглобин миқдори камайиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чақалоқларда чилла даврининг 2-3 куни сариқлик юзага келишини кўп учрайдиган сабаби,физиологик сариқлик,физиологик сариқлик,она ва бола қон гурухлари мос келмаслиги,сепсис,она ва бола резус-фактори мос келмаслиги,айрим дори воситалари,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резус-иммунизация  юзага келиши сабаби бўлади:,ҳаммаси,резус-манфий аёлга резус-мусбат қон қуйилиши,резус-манфий аёлда резус-мусбат ҳомила туғилиши,резус-мусбат ҳомилани оператив йўли билан туғдириш,"резус-манфий аёда  абортлар, айни 9 ҳафталикдан катта бўлган ҳомиладорликда",ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ультратовуш текширишда аниқланадиган ҳомила эритробластози белгилари,"асцит, гепато-спленомегалия.","асцит, гепато-спленомегалия.","плацента қалин бўлиши,  ҳомила сувлари тиниқ бўлмаслиги","кўп сувлик, ҳомила гипотрофияси","гидроцефалия, кўп сувлик","бачадон тонуси ортиши, ҳомила  гипотрофияси, плацентада пертификатлар аниқланиши",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чақалоқда гемолитик касаллигини белгилари:,"камконлик, гепато-спленомегалия, сариклик","камконлик, гепато-спленомегалия, сариклик","жигар катталашиши, сариқлик, пневмония","нафас олиш етишмовчилиги, камқонлик",марказий нерв тизими ўта таъсирланиш синдроми,марказий нерв тизими  босилиши синдроми,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Изоиммунизация  ривожланиши хавфини оширади:,ҳаммаси,сунъий ва ўз-ўзидан бўлган  аборт,кесар кесиш амалиети,бачадонни қўл Билан текшириш,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чақалоқда гемолитик касаллигини енгил даражасига мос келадиган клиник белгиларини кўрсатинг,камқонлик,ҳомила умумий шиши,"асцит, гидроторакс",камқонлик,сариқлик,гепатоспленомегалия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чақалоқда гемолитик касаллигини оғир даражасига хос клиник белгилар:,ҳаммаси туғри,ҳомила умумий шиши,"асцит, гидроторакс","камқонлик, сариқлик, гепато-спленомегалия",ҳаммаси туғри,ҳаммаси нотўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резус-сенсибилизация ҳолатини олдини олиш мақсадида резус-манфий аелларга специфик профилактика ўтказилади:,"туғруқ, аборт, кесар кесиш амалиетидан кейин биринчи 24-48 соат ичида","туғруқ, аборт, кесар кесиш амалиетидан кейин биринчи 24-48 соат ичида",ҳомиладорликни биринчи триместрида,ҳомиладорлик давомида уч марта,ҳаммаси тугри,ҳаммаси нотўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резус-иммунизацияни специфик профилактикаси учун қўлланади,антирезус- иммуноглобулин,антигистамин дори воситалар,антирезус- иммуноглобулин,плазмаферез,ҳаммаси тугри,ҳаммаси нотугри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резус-манфий хомиладорларни назоратида  қўлланади:,ҳаммаси қўлланади,эрининг қон гурухини ва резус-факторни аниқлаш,ҳомиладорлик давомида  динамикада  қонда  антирезус-антитаналарни миқдорини аниқлаш,"ультратовуш текшириш, КТГ, доплерометрия",Кумбс реакцияси билан яширин антитаналарни аниқлаш,ҳаммаси қўлланади,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомилада гемолитик касаллигини ташхислашда қайси текшириш усуллари қўлланади,ҳаммаси,УЗИ,амниоцентез,амниотик суюқликни спектрофотометрик усулида текшириш,кардиотокография-КТГ,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резус-сенсибилизация ривожланиши  хавфини қуйидагилар оширади,ҳаммаси,оператив туғдириш,преэклампсия,йўлдошни қўл билан ажратиш,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомила ва чақалоқда гемолитик камқонлик  ривожланиши сабаби,антиген-антитана реакцияси натижасида эритроцитлар парчаланиши,антиген-антитана реакцияси натижасида эритроцитлар парчаланиши,эритропоэз босилиши,талоқда эритроцитлар парчаланишининг кучайиши,онада темир танқислиги,ҳаммаси нотўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомила гемолитик касаллигида гипербилирубинемия  келиб чиқиши сабаби,"эритроцитлар парчаланиши, жигар хужайраларининг ферментатив хусусияти сустлиги","эритроцитлар парчаланиши, жигар хужайраларининг ферментатив хусусияти сустлиги",ҳомилада  жигар хужайраларининг шикастланиши,онада гипербилирубинемия,йўлдош барьери бузилиши натижасида билирубин онадан ҳомилага ўтиши,ҳаммаси тўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резус-иммунизация холатида ҳомиладорлик даврида қандай асоратлар кузатилади,қаммаси,ҳомила тушиш хавфи,кўп сувлик,камқонлик,преэклампсия,қаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чақалоқда гемолитик касаллигини асосий даволаш усули,қон алмаштириш амалиети,қон алмаштириш амалиети,гемотрансфузия,антигистамин воситалар,плазмаферез,қон ўрнини босувчи препаратлар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ультратовуш текширишида  ҳомила гемолитик касаллиги белгилари бўлади:,ҳаммаси,"кўпсувлик, плацента қалинлашиши ва катталашиши","асцит, гидроперикард, гидроторакс",гепато-спленомегалия,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Биринчи туғувчи аёлларда туғруқ давомийлиги,,10-12 соат,6-8 соат,2-4 соат,1-2 соат,24 соат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чақалоқда гемоглобин миқдори қанча бўлади,160-180 г/л,80-100г/л,100-120 г/л,120-140 г/л,60-80 г/л,160-180 г/л,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резус-иммунизацияда  туғруқда қандай асоратлар юзага келишига сабаб бўлади,ҳаммаси тўғри,туғруқ фаолияти сустлиги,гипотоник қон кетиши,коагулопатик қон кетиши,ҳаммаси тўғри,ҳаммаси нотўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чақалоқда гемолитик касаллигини ташхислаш учун қандай лаборатор текширишлар бажарилади,ҳаммаси,"қон гурухи, резус-факторни аниқлаш",гемоглобин миқдорини аниқлаш,қонда билирубин миқдорини аниқлаш,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELLP синдром белгилари қуйидагидан ташқари:,лимфопения,гемолиз,лимфопения,гипербилирубинемия,"АЛТ, АСТ миқдорини ортиши",тромбоцитопения,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Преэклампсия асоратларига қуйидагилардан ташқари киради:,Умумий қон ҳажмининг ортиши,коптокчалар фильтрациясининг пасайиши,сийдик кислота миқдорининг қон плазмасида ортиши,Умумий қон ҳажмининг ортиши,олигурия,плацентар қон айланишининг сусайиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аёл аҳволини тезкор бирламчи баҳолаш қуйидагиларга асосланади:,"Асосий органлар функцияси кўрсаткичларига (А/Б, пульс, эс-ҳуши, нафас, ҳарорат)",тўла йиғилган анамнезга,физик кўриш,"Асосий органлар функцияси кўрсаткичларига (А/Б, пульс, эс-ҳуши, нафас, ҳарорат)",Қўшимча лаборатор кўрсаткичлар,Бемор шикоятлари,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорлик билан индуцивланган гипертензияда диурез пасайишининг сабаби:,Буйрак қон томирлари сиқилиши (спазми) туфайли қон айланишининг сусайиши,Буйраклар органик ўзгаришлари,Сийдик йўлларининг эзилиши,Буйрак қон томирлари сиқилиши (спазми) туфайли қон айланишининг сусайиши,Буйрак ишимияси,Буйрак томирлари тромбози,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 ҳафтагача бўлган муддатда диасторик артериал босимнинг 90 мм сим.уст. гача кўтарилиши қуйидаги хасталик симптоми:,сурункали гипертензия,енгил преэклампсия,сурункали гипертензия,Преэклампсия аралаш формаси,ҳомиладорлик билан индуцирланган гипертензия,оғир преэклампсия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Енгил преэклампсия давоси бу:,Фақат кузатув,Тиришишга қарши ва гипотензив терапия,Седатив препарат ва транквилизаторлар,фақат седатив препаратлар,Фақат гипотензив препаратлар,Фақат кузатув,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Юқори артериал қон босим ва протсинурия билан кечаётган ҳомиладорлик бу:,Преэклампсия,Преэклампсия,сурункали гипертензия,Пиелонефрит,Кўрсатилганларнинг ҳеч бири,Гломерулонефрит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ҳомиладор аёлда юқори артериал қон босим, протеинурия ва кучли бош оғриғи кузатилса, бу:",оғир преэклампсия,енгил преэклампсия,ўрта даражадаги преэклампсия,оғир преэклампсия,Эклампсия хавфи,сурункали гипертензия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оғир преэклампсияда ёки эклампсияда тиришишларни даволашга ҳамда олдини олишга ишлатиладиган биринчи препарат бу:,Магнезий сульфат,диазепам,гидралазин,Магнезий сульфат,корвитол,коринфар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эклампсияни даволашда магний сульфат меъёридан ортиб кетганда:,кальций препаратлари юбориш керак,диуретиклар юбориш керак,кальций препаратлари юбориш керак,Диазепсин киритиш керак,ГОМК киритиш керак,кўрсатилганларнинг ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Преэклампсиянинг оғир формаси ва эклампсияда тиришишга қарши даво:,туғруқдан ёки охирги тиришиш хуружидан 24 соатдан сўнг (қайси бири охири бўлса) тўтатилиши лозим,туғруқдан сўнг дархол тўхтатилиши лозим,туғруқдан ёки охирги тиришиш хуружидан 12 соатдан сўнг (қайси бири охири бўлса) тўатилиши лозим,туғруққача тўхтатилиши лозим,туғруқдан ёки охирги тиришиш хуружидан 24 соатдан сўнг (қайси бири охири бўлса) тўтатилиши лозим,Гипертензив синдром мавжуд бўлган пайт давомида тўхтатмаслик лозим,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оғир преэклампсияда диастолик артериал қон босим қуйидагича бўлганда қон босимини тушуришга анти гипертензив препаратлар қўлланилиши лозим,110 мм.сим.уст. ва юқори,90 мм.сим.уст. ва юқори,100 ва 110 мм.сим.уст. оралиғида,110 мм.сим.уст. ва юқори,120 мм.сим.уст. ва юқори,90 мм.сим.уст.дан юқори,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оғир преэклампсия ва эклампсияда гипотензив даво мақсадида диастоник А/Бни қуйидаги меъёрда ишлаб туриш:,90 ва 100 мм.сим.уст. оралиғида,меъёрдаги ўлчамда,80 мм.сим.уст.дан паст,80 ва 90 мм.сим.уст. оралиғида,100 ва 110 мм.сим.уст.,90 ва 100 мм.сим.уст. оралиғида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
